seq,met,utc,phase,event,vehicle_state,guidance_mode,propulsion,comms,crew_proc
1,000:00:00,1969-07-16T13:32:00Z,LAUNCH,"Liftoff S-IC ignition",stack_thrusting,IU,"5xF-1 7.5Mlbf",MSFN,"—"
2,000:02:42,1969-07-16T13:34:42Z,STAGING,"S-IC/S-II separation",S-II thrusting 68km,IU,"5xJ-2",MSFN,"—"
3,000:09:00,1969-07-16T13:41:00Z,EARTH_ORBIT,"S-IVB orbital insertion 185km circular",LEO 185km,IU → PGNCS,"S-IVB cutoff",MSFN Bermuda,"Orbit checklist"
4,002:44:16,1969-07-16T16:16:16Z,TLI,"Translunar Injection (S-IVB restart, ΔV 3.05km/s)",TLI,IU,"1xJ-2 350s",MSFN,"P15? — IU sequence"
5,003:15:00,1969-07-16T16:47:00Z,COAST,"CSM/S-IVB separation, transposition & docking",coast,PGNCS P30,"RCS",MSFN,"Transposition"
6,075:49:50,1969-07-19T17:21:50Z,LUNAR_ORBIT,"LOI-1 (SPS, behind Moon)",111x312km lunar,PGNCS P40,"SPS 357s",LOS 10min,"P40"
7,080:11:36,1969-07-19T21:43:36Z,LUNAR_ORBIT,"LOI-2 circularization 111x122km",circular 111km,PGNCS P40,"SPS 17s",MSFN,"P30"
8,100:12:00,1969-07-20T13:44:00Z,UNDOCK,"CSM/LM undock, DOI preparation",LM separate,LGC P47,"RCS",MSFN + VHF,"Undock, visual inspect"
9,101:36:14,1969-07-20T15:08:14Z,DESCENT_PREP,"DOI burn (DPS, ΔV 20m/s)",15x111km,LGC P40,"DPS",MSFN,"P63 ready"
10,102:33:05,1969-07-20T20:05:05Z,PDI,"Powered Descent Initiation (DPS ignition, P63)",15km alt,P63 Braking,"DPS 94% + RCS",MSFN Goldstone+Honeysuckle,"P63 auto"
11,102:38:22,1969-07-20T20:10:22Z,PDI,"1202 Executive Overflow alarm (RR CDU flood) — restart, phase resume",PDI,P63 → restart → P63,"DPS",MSFN,"GNC: '1202' — GO"
12,102:39:00,1969-07-20T20:11:00Z,PDI,"1201 alarm (second overflow)",PDI,P63,"DPS",MSFN,"GO"
13,102:42:00,1969-07-20T20:14:00Z,APPROACH,"P64 Approach Phase (pitch to landing site, throttle variable)",2km alt,P64,"DPS variable",MSFN,"N69 redesignate window"
14,102:44:00,1969-07-20T20:16:00Z,LANDING,"P66 ROD/manual take-over, Armstrong maneuvers",150m alt,P66,"DPS",MSFN,"Manual stick"
15,102:45:03,1969-07-20T20:17:40Z,LANDED,"Contact Light, 'The Eagle has landed' — Tranquility Base",surface lat 0.674°N 23.473°E,P68,"DPS cutoff",MSFN,"P68 landing confirmation"
16,109:07:33,1969-07-21T02:39:33Z,EVA,"Armstrong steps onto surface, 'one small step'",surface EVA,PGNCS standby,"—",S-band + TV,"EVA"
17,124:22:00,1969-07-21T17:54:00Z,ASCENT,"Liftoff — APS ignition P12",ascent 0→60km,P12 Ascent Guidance,"APS 3500lbf",VHF→S-band,"P12 auto"
18,124:30:00,1969-07-21T18:02:00Z,INSERTION,"Lunar orbit insertion 15×85km",orbit,P70,"APS cutoff",MSFN,"P30"
19,127:15:00,1969-07-21T20:47:00Z,RENDEZVOUS,"CSI/CDH burns (P30 Lambert) — RECONSTRUCTED 127:15",phasing,P32 Lambert,"RCS",VHF,"Rendezvous nav P20 marks"
20,128:03:00,1969-07-21T21:35:00Z,DOCKING,"Docking with Columbia (CSM)",docked,DAP,"RCS",VHF,"Hard dock"
21,135:23:00,1969-07-22T04:55:00Z,TEI,"Trans-Earth Injection (SPS, ΔV 1.0km/s)",TEI,P40,"SPS",MSFN,"P40"
22,195:18:35,1969-07-24T16:50:35Z,REENTRY,"Splashdown Pacific (13°30′N 169°15′W)",CM parachutes,—,"RCS CM",Recovery UHF,"—"
